playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
marquru01,1938,BBWAA,262,197,10,0,Player,NULL
vanceda01,1938,BBWAA,262,197,10,0,Player,NULL
roushed01,1938,BBWAA,262,197,9,0,Player,NULL
gowdyha01,1938,BBWAA,262,197,8,0,Player,NULL
rusieam01,1938,BBWAA,262,197,8,0,Player,NULL
tennefr02,1938,BBWAA,262,197,8,0,Player,NULL
altroni01,1938,BBWAA,262,197,7,0,Player,NULL
archeji01,1938,BBWAA,262,197,7,0,Player,NULL
combsea01,1938,BBWAA,262,197,7,0,Player,NULL
terrybi01,1938,BBWAA,262,197,7,0,Player,NULL
wallabo01,1938,BBWAA,262,197,7,0,Player,NULL
wheatza01,1938,BBWAA,262,197,7,0,Player,NULL
careyma01,1938,BBWAA,262,197,6,0,Player,NULL
woodjo02,1938,BBWAA,262,197,6,0,Player,NULL
donlimi01,1938,BBWAA,262,197,5,0,Player,NULL
lewisdu01,1938,BBWAA,262,197,5,0,Player,NULL
nehfar01,1938,BBWAA,262,197,5,0,Player,NULL
carribi02,1938,BBWAA,262,197,4,0,Player,NULL
dinnebi01,1938,BBWAA,262,197,4,0,Player,NULL
doylela01,1938,BBWAA,262,197,4,0,Player,NULL
hoopeha01,1938,BBWAA,262,197,4,0,Player,NULL
mcinnst01,1938,BBWAA,262,197,4,0,Player,NULL
barryja01,1938,BBWAA,262,197,3,0,Player,NULL
burnsge01,1938,BBWAA,262,197,3,0,Player,NULL
fletcar01,1938,BBWAA,262,197,3,0,Player,NULL
grohhe01,1938,BBWAA,262,197,3,0,Player,NULL
kerrdi01,1938,BBWAA,262,197,3,0,Player,NULL
nichoki01,1938,BBWAA,262,197,3,0,Player,NULL
traynpi01,1938,BBWAA,262,197,3,0,Player,NULL
bancrda01,1938,BBWAA,262,197,2,0,Player,NULL
bradlbi01,1938,BBWAA,262,197,2,0,Player,NULL
burkeje01,1938,BBWAA,262,197,2,0,Player,NULL
chesbja01,1938,BBWAA,262,197,2,0,Player,NULL
coombja01,1938,BBWAA,262,197,2,0,Player,NULL
cravaga01,1938,BBWAA,262,197,2,0,Player,NULL
elberki01,1938,BBWAA,262,197,2,0,Player,NULL
fosteed02,1938,BBWAA,262,197,2,0,Player,NULL
judgejo01,1938,BBWAA,262,197,2,0,Player,NULL
mageesh01,1938,BBWAA,262,197,2,0,Player,NULL
peckiro01,1938,BBWAA,262,197,2,0,Player,NULL
rixeyep01,1938,BBWAA,262,197,2,0,Player,NULL
schreos01,1938,BBWAA,262,197,2,0,Player,NULL
scottev01,1938,BBWAA,262,197,2,0,Player,NULL
beaumgi01,1938,BBWAA,262,197,1,0,Player,NULL
bergema01,1938,BBWAA,262,197,1,0,Player,NULL
chapmra01,1938,BBWAA,262,197,1,0,Player,NULL
coaklan01,1938,BBWAA,262,197,1,0,Player,NULL
coopewi01,1938,BBWAA,262,197,1,0,Player,NULL
covelst01,1938,BBWAA,262,197,1,0,Player,NULL
cranddo01,1938,BBWAA,262,197,1,0,Player,NULL
cruiswa01,1938,BBWAA,262,197,1,0,Player,NULL
dahlebi01,1938,BBWAA,262,197,1,0,Player,NULL
daubeja01,1938,BBWAA,262,197,1,0,Player,NULL
donovbi01,1938,BBWAA,262,197,1,0,Player,NULL
dooinre01,1938,BBWAA,262,197,1,0,Player,NULL
duganjo01,1938,BBWAA,262,197,1,0,Player,NULL
ehmkeho01,1938,BBWAA,262,197,1,0,Player,NULL
faberre01,1938,BBWAA,262,197,1,0,Player,NULL
flickel01,1938,BBWAA,262,197,1,0,Player,NULL
gleaski01,1938,BBWAA,262,197,1,0,Player,NULL
granted01,1938,BBWAA,262,197,1,0,Player,NULL
grimebu01,1938,BBWAA,262,197,1,0,Player,NULL
herzobu01,1938,BBWAA,262,197,1,0,Player,NULL
irwinch01,1938,BBWAA,262,197,1,0,Player,NULL
jonesfi01,1938,BBWAA,262,197,1,0,Player,NULL
lathaar01,1938,BBWAA,262,197,1,0,Player,NULL
loberha01,1938,BBWAA,262,197,1,0,Player,NULL
longhe01,1938,BBWAA,262,197,1,0,Player,NULL
luquedo01,1938,BBWAA,262,197,1,0,Player,NULL
marbefi01,1938,BBWAA,262,197,1,0,Player,NULL
meusebo01,1938,BBWAA,262,197,1,0,Player,NULL
milancl01,1938,BBWAA,262,197,1,0,Player,NULL
