playerID,Name,NumYears,debut,final,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,ERA,WPct,WHIP,H9,HR9,BB9,K9,SOW,P,ROY,MVP,CYA,GG_P,WAR,indYear,votedBy,inducted
byrdpa01,Paul Byrd,14,1995,2009,109.0,96.0,345.0,256.0,17.0,6.0,0.0,1857.0,831.0,247.0,401.0,923.0,23.0,35.0,62.0,7.0,7266.0,30.0,929.0,39.0,57.0,124.0,1697.0,4.407189157336476,0.5317073170731708,1.3305833824395994,9.84855627578079,1.309958750736594,2.126694166175604,4.89510901591043,2.3017456359102244,345,0.0,0.0,0.0,0.0,15.920000000000002,0.0,0,0.0
byrneto01,Tommy Byrne,13,1943,1957,85.0,69.0,281.0,170.0,65.0,12.0,12.0,1138.0,622.0,98.0,1037.0,766.0,52.0,28.0,85.0,4.0,6181.0,72.0,688.0,75.0,49.0,115.0,1362.0,4.110132158590308,0.551948051948052,1.5969162995594715,7.519823788546256,0.6475770925110133,6.852422907488987,5.061674008810573,0.7386692381870781,281,0.0,0.0,0.0,0.0,6.33,0.0,0,0.0
cadargr01,Greg Cadaret,10,1987,1998,38.0,32.0,451.0,35.0,4.0,2.0,14.0,716.0,321.0,58.0,403.0,539.0,36.0,56.0,16.0,7.0,3206.0,120.0,351.0,35.0,21.0,69.0,724.3333333333334,3.988495167970547,0.5428571428571428,1.5448688449148642,8.896456511734929,0.7206626783248965,5.007363092498849,6.697192820984814,1.337468982630273,451,0.0,0.0,0.0,0.0,6.679999999999999,0.0,0,0.0
cadorle01,Leon Cadore,10,1915,1924,68.0,72.0,192.0,147.0,83.0,10.0,3.0,1273.0,438.0,44.0,289.0,445.0,49.0,14.0,26.0,1.0,5206.0,36.0,525.0,66.0,38.0,130.0,1257.3333333333333,3.1352067868504774,0.4857142857142857,1.2423117709437965,9.112142099681869,0.3149522799575822,2.0686638388123013,3.1853128313891834,1.5397923875432526,192,0.0,0.0,0.0,0.0,18.79,0.0,0,0.0
caldwmi01,Mike Caldwell,14,1971,1984,137.0,130.0,475.0,307.0,98.0,23.0,18.0,2581.0,1020.0,218.0,597.0,939.0,62.0,65.0,35.0,9.0,10156.0,77.0,1182.0,109.0,60.0,299.0,2408.6666666666665,3.8112371990035983,0.5131086142322098,1.3194021588707445,9.643924716302243,0.814558538610573,2.2306947135344593,3.5085801273180186,1.5728643216080402,475,0.0,0.0,0.0,0.0,18.950000000000006,0.0,0,0.0
caldwra02,Ray Caldwell,12,1910,1921,133.0,120.0,343.0,260.0,184.0,21.0,9.0,2089.0,802.0,59.0,738.0,1006.0,46.0,29.0,63.0,2.0,9094.0,62.0,992.0,107.0,63.0,337.0,2242.0,3.2194469223907225,0.525691699604743,1.2609277430865298,8.385816235504015,0.23684210526315788,2.9625334522747546,4.03835860838537,1.3631436314363143,343,0.0,0.0,0.0,0.0,30.930000000000007,0.0,0,0.0
camacer01,Ernie Camacho,10,1980,1990,10.0,20.0,193.0,3.0,0.0,0.0,45.0,268.0,123.0,16.0,128.0,159.0,18.0,24.0,8.0,9.0,1169.0,119.0,129.0,18.0,16.0,29.0,262.6666666666667,4.214467005076142,0.3333333333333333,1.5076142131979695,9.182741116751268,0.5482233502538071,4.385786802030457,5.447969543147208,1.2421875,193,0.0,0.0,0.0,0.0,2.5199999999999996,0.0,0,0.0
camniho01,Howie Camnitz,11,1904,1915,133.0,106.0,326.0,236.0,137.0,20.0,15.0,1852.0,637.0,41.0,656.0,915.0,53.0,37.0,65.0,1.0,8341.0,74.0,857.0,87.0,59.0,326.0,2085.3333333333335,2.7492007672634267,0.5564853556485355,1.2026854219948848,7.992966751918158,0.17695012787723785,2.8312020460358056,3.9490089514066495,1.3948170731707317,326,0.0,0.0,0.0,0.0,19.529999999999998,0.0,0,0.0
campbbi02,Bill Campbell,15,1973,1987,83.0,68.0,700.0,9.0,2.0,1.0,126.0,1139.0,484.0,82.0,495.0,864.0,100.0,47.0,20.0,6.0,5239.0,455.0,550.0,88.0,41.0,84.0,1229.3333333333333,3.5433839479392626,0.5496688741721855,1.3291757049891542,8.33866594360087,0.6003253796095446,3.6239154013015185,6.325379609544469,1.7454545454545454,700,0.0,0.0,0.0,0.0,12.4,0.0,0,0.0
campsh01,Shawn Camp,11,2004,2014,29.0,33.0,541.0,0.0,0.0,0.0,12.0,682.0,290.0,65.0,176.0,403.0,40.0,14.0,35.0,3.0,2579.0,143.0,321.0,15.0,20.0,86.0,592.3333333333334,4.406302757456387,0.46774193548387094,1.4485087225661226,10.362408553742261,0.9876195835678108,2.6741699493528417,6.123241418120427,2.289772727272727,541,0.0,0.0,0.0,0.0,1.95,0.0,0,0.0
candejo01,John Candelaria,19,1975,1993,177.0,122.0,600.0,356.0,54.0,13.0,29.0,2399.0,935.0,245.0,592.0,1673.0,63.0,28.0,37.0,26.0,10366.0,82.0,1038.0,105.0,93.0,182.0,2525.6666666666665,3.3317935858519205,0.5919732441471572,1.1842417843473672,8.54863402402006,0.8730368219611984,2.1095420351062426,5.961594298535041,2.8260135135135136,600,0.0,0.0,0.0,0.0,39.91,0.0,0,0.0
candito01,Tom Candiotti,16,1983,1999,151.0,164.0,451.0,410.0,68.0,11.0,0.0,2662.0,1130.0,250.0,883.0,1735.0,31.0,120.0,85.0,27.0,11568.0,11.0,1299.0,108.0,91.0,221.0,2725.0,3.7321100917431194,0.4793650793650794,1.3009174311926606,8.791926605504587,0.8256880733944955,2.9163302752293574,5.730275229357798,1.9648924122310305,451,0.0,0.0,0.0,0.0,42.31,0.0,0,0.0
cantwbe01,Ben Cantwell,11,1927,1937,76.0,108.0,316.0,163.0,75.0,6.0,21.0,1640.0,666.0,90.0,382.0,348.0,54.0,19.0,23.0,0.0,6527.0,113.0,778.0,92.0,60.0,132.0,1534.0,3.9074315514993483,0.41304347826086957,1.318122555410691,9.621903520208605,0.5280312907431551,2.241199478487614,2.041720990873533,0.9109947643979057,316,0.0,0.0,0.0,0.0,13.66,0.0,0,0.0
cardwdo01,Don Cardwell,14,1957,1970,102.0,138.0,410.0,301.0,72.0,17.0,7.0,2009.0,924.0,225.0,671.0,1211.0,80.0,69.0,98.0,8.0,8949.0,44.0,1044.0,85.0,64.0,180.0,2122.6666666666665,3.917713567839196,0.425,1.2625628140703518,8.518059045226131,0.9539886934673367,2.8450062814070356,5.134579145728644,1.804769001490313,410,0.0,0.0,0.0,0.0,16.93,0.0,0,0.0
carlsha01,Hal Carlson,14,1917,1930,114.0,120.0,377.0,238.0,121.0,17.0,19.0,2256.0,883.0,93.0,498.0,590.0,74.0,18.0,36.0,2.0,8522.0,96.0,1013.0,107.0,79.0,220.0,2002.0,3.9695304695304694,0.48717948717948717,1.3756243756243756,10.141858141858142,0.4180819180819181,2.2387612387612386,2.6523476523476526,1.1847389558232932,377,0.0,0.0,0.0,0.0,25.29,0.0,0,0.0
carltst01,Steve Carlton,24,1965,1988,329.0,244.0,741.0,709.0,254.0,55.0,2.0,4672.0,1864.0,414.0,1833.0,4136.0,150.0,183.0,53.0,90.0,21683.0,13.0,2130.0,232.0,123.0,401.0,5217.333333333333,3.215435727063634,0.5741710296684118,1.2468055200613342,8.059289547661642,0.7141579350881677,3.1619601328903655,7.134679274214159,2.2564102564102564,741,0.0,0.0,4.0,1.0,84.11,1994.0,BBWAA,1.0
carmado01,Don Carman,10,1983,1992,53.0,54.0,342.0,102.0,7.0,3.0,11.0,849.0,421.0,115.0,378.0,598.0,45.0,36.0,22.0,10.0,3936.0,83.0,462.0,44.0,31.0,43.0,921.6666666666666,4.111030741410488,0.4953271028037383,1.3312839059674504,8.290415913200723,1.1229656419529839,3.6911392405063292,5.839421338155515,1.582010582010582,342,0.0,0.0,0.0,0.0,7.63,0.0,0,0.0
carpech01,Chris Carpenter,15,1997,2012,144.0,94.0,350.0,332.0,33.0,15.0,0.0,2205.0,927.0,220.0,627.0,1697.0,23.0,51.0,85.0,3.0,9305.0,6.0,1021.0,75.0,48.0,223.0,2219.3333333333335,3.7592370081105435,0.6050420168067226,1.2760588765395013,8.941874436767797,0.8921598077500751,2.542655452087714,6.881796335235806,2.7065390749601277,350,0.0,0.0,1.0,0.0,35.239999999999995,0.0,0,0.0
carragi01,Giovanni Carrara,10,1995,2006,29.0,18.0,313.0,18.0,1.0,0.0,4.0,487.0,246.0,74.0,202.0,338.0,22.0,9.0,21.0,0.0,2079.0,72.0,260.0,29.0,11.0,36.0,472.3333333333333,4.687367678193366,0.6170212765957447,1.4587155963302754,9.279463655610444,1.4100211714890616,3.848976711362033,6.440366972477064,1.6732673267326732,313,0.0,0.0,0.0,0.0,1.8099999999999998,0.0,0,0.0
carrahe01,Hector Carrasco,12,1994,2007,44.0,50.0,647.0,10.0,0.0,0.0,19.0,792.0,370.0,69.0,387.0,662.0,33.0,85.0,33.0,7.0,3649.0,207.0,411.0,39.0,36.0,72.0,832.3333333333334,4.000800961153384,0.46808510638297873,1.4164997997597115,8.563876651982378,0.7460953143772527,4.184621545855026,7.158189827793351,1.7105943152454781,647,0.0,0.0,0.0,0.0,9.53,0.0,0,0.0
carrocl02,Clay Carroll,15,1964,1978,96.0,73.0,731.0,28.0,1.0,0.0,143.0,1296.0,442.0,67.0,442.0,681.0,112.0,41.0,37.0,5.0,5673.0,373.0,506.0,92.0,53.0,143.0,1353.3333333333333,2.939408866995074,0.5680473372781065,1.2842364532019706,8.618719211822661,0.44556650246305424,2.939408866995074,4.528817733990148,1.5407239819004526,731,0.0,0.0,0.0,0.0,18.349999999999998,0.0,0,0.0
carseki01,Kid Carsey,10,1891,1901,116.0,138.0,296.0,257.0,218.0,4.0,3.0,2794.0,1229.0,80.0,800.0,486.0,78.0,92.0,125.0,0.0,10251.0,38.0,1728.0,120.0,103.0,262.0,2233.3333333333335,4.952686567164179,0.4566929133858268,1.6092537313432835,11.259402985074626,0.3223880597014925,3.2238805970149254,1.958507462686567,0.6075,296,0.0,0.0,0.0,0.0,8.51,0.0,0,0.0
castege01,George Caster,12,1934,1946,76.0,100.0,376.0,127.0,62.0,6.0,39.0,1469.0,695.0,121.0,597.0,595.0,65.0,15.0,25.0,5.0,6096.0,169.0,833.0,79.0,59.0,131.0,1377.6666666666667,4.540285506895717,0.4318181818181818,1.499637067505444,9.596661021050085,0.7904669731429954,3.900072586498911,3.8870070166948945,0.9966499162479062,376,0.0,0.0,0.0,0.0,9.469999999999999,0.0,0,0.0
castifr01,Frank Castillo,13,1991,2005,82.0,104.0,297.0,268.0,10.0,3.0,2.0,1660.0,809.0,190.0,506.0,1101.0,32.0,33.0,59.0,9.0,6871.0,9.0,878.0,71.0,46.0,79.0,1595.3333333333333,4.563936481404095,0.44086021505376344,1.357709987463435,9.36481404095278,1.0718763058921856,2.8545758462181365,6.211241119933139,2.175889328063241,297,0.0,0.0,0.0,0.0,9.379999999999999,0.0,0,0.0
castito02,Tony Castillo,10,1988,1998,28.0,23.0,403.0,6.0,0.0,0.0,22.0,555.0,230.0,52.0,179.0,333.0,26.0,9.0,14.0,2.0,2276.0,114.0,267.0,32.0,26.0,58.0,526.6666666666666,3.9303797468354436,0.5490196078431373,1.3936708860759495,9.484177215189874,0.8886075949367089,3.058860759493671,5.690506329113925,1.8603351955307263,403,0.0,0.0,0.0,0.0,6.369999999999999,0.0,0,0.0
castrbi01,Bill Castro,10,1974,1983,31.0,26.0,303.0,9.0,0.0,0.0,45.0,564.0,202.0,36.0,145.0,203.0,42.0,18.0,22.0,0.0,2321.0,198.0,245.0,28.0,25.0,72.0,546.3333333333334,3.327638804148871,0.543859649122807,1.2977425259304454,9.291031116534471,0.5930445393532642,2.388651616839536,3.344112263575351,1.4,303,0.0,0.0,0.0,0.0,6.09,0.0,0,0.0
chambel01,Ice Box Chamberlain,10,1886,1896,157.0,120.0,321.0,301.0,264.0,16.0,1.0,2446.0,999.0,63.0,1065.0,1133.0,70.0,149.0,113.0,0.0,11097.0,19.0,1560.0,125.0,94.0,222.0,2521.6666666666665,3.565499008592201,0.5667870036101083,1.3923331130204892,8.729940515532057,0.2248512888301388,3.8010575016523465,4.043754130865829,1.063849765258216,321,0.0,0.0,0.0,0.0,30.430000000000003,0.0,0,0.0
chancde01,Dean Chance,11,1961,1971,128.0,115.0,406.0,294.0,83.0,33.0,23.0,1864.0,697.0,122.0,739.0,1534.0,75.0,70.0,65.0,9.0,8906.0,61.0,832.0,104.0,56.0,183.0,2147.3333333333335,2.9212977336230983,0.5267489711934157,1.2122011797578391,7.812480596088171,0.5113318845079168,3.0973300217323807,6.429369760943806,2.0757780784844386,406,0.0,0.0,1.0,0.0,34.92000000000001,0.0,0,0.0
chandsp01,Spud Chandler,11,1937,1947,109.0,43.0,211.0,184.0,109.0,26.0,6.0,1327.0,468.0,64.0,463.0,614.0,45.0,20.0,19.0,5.0,6102.0,14.0,549.0,69.0,44.0,127.0,1485.0,2.836363636363636,0.7171052631578947,1.2053872053872055,8.042424242424243,0.3878787878787879,2.806060606060606,3.721212121212121,1.326133909287257,211,0.0,1.0,0.0,0.0,22.89,0.0,0,0.0
charlno01,Norm Charlton,13,1988,2001,51.0,54.0,605.0,37.0,1.0,1.0,97.0,798.0,371.0,70.0,409.0,808.0,27.0,77.0,32.0,9.0,3845.0,280.0,419.0,52.0,21.0,79.0,899.3333333333334,3.7127501853224607,0.4857142857142857,1.3421052631578947,7.985915492957746,0.7005189028910304,4.093031875463306,8.08598962194218,1.9755501222493888,605,0.0,0.0,0.0,0.0,8.49,0.0,0,0.0
chesbja01,Jack Chesbro,11,1899,1909,198.0,132.0,392.0,332.0,260.0,35.0,5.0,2647.0,864.0,39.0,690.0,1265.0,60.0,62.0,113.0,2.0,11632.0,52.0,1206.0,114.0,71.0,376.0,2896.6666666666665,2.6844649021864213,0.6,1.1520138089758343,8.22428078250863,0.12117376294591485,2.143843498273878,3.930379746835443,1.8333333333333333,392,0.0,0.0,0.0,0.0,42.67,1946.0,Old Timers,1.0
chipmbo01,Bob Chipman,12,1941,1952,51.0,46.0,293.0,87.0,29.0,7.0,14.0,889.0,364.0,60.0,386.0,322.0,49.0,14.0,10.0,3.0,3855.0,93.0,438.0,62.0,26.0,80.0,880.6666666666666,3.719909159727479,0.5257731958762887,1.44776684330053,9.085162755488266,0.6131718395155186,3.9447388342165026,3.2906888720666165,0.8341968911917098,293,0.0,0.0,0.0,0.0,8.57,0.0,0,0.0
chrisja01,Jason Christiansen,11,1995,2005,27.0,26.0,528.0,0.0,0.0,0.0,16.0,409.0,207.0,37.0,217.0,384.0,34.0,27.0,15.0,2.0,1911.0,128.0,220.0,21.0,18.0,31.0,433.6666666666667,4.295926210607225,0.5094339622641509,1.4435049961568025,8.488086087624904,0.7678708685626441,4.503458877786318,7.9692544196771715,1.7695852534562213,528,0.0,0.0,0.0,0.0,3.8899999999999997,0.0,0,0.0
chrisla01,Larry Christenson,11,1973,1983,83.0,71.0,243.0,220.0,27.0,6.0,4.0,1401.0,591.0,100.0,395.0,781.0,34.0,34.0,21.0,26.0,5861.0,13.0,648.0,53.0,47.0,106.0,1402.6666666666667,3.7920627376425857,0.538961038961039,1.2804182509505704,8.98930608365019,0.6416349809885932,2.534458174904943,5.011169201520913,1.9772151898734178,243,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0
cicoted01,Eddie Cicotte,14,1905,1920,209.0,149.0,502.0,361.0,249.0,35.0,24.0,2897.0,853.0,32.0,827.0,1374.0,84.0,58.0,51.0,5.0,12703.0,106.0,1158.0,131.0,82.0,489.0,3226.0,2.379727216367018,0.5837988826815642,1.1543707377557346,8.082145071295722,0.08927464352138871,2.3071915685058895,3.8332300061996283,1.6614268440145104,502,0.0,0.0,0.0,0.0,57.489999999999995,0.0,0,0.0
